epoch,phase,loss,top1,top5,lr,imgs_per_sec
226,val,1.843154,77.7000,93.7780,0.00000005,1129.02
227,train,1.712562,82.7198,94.1157,0.00000005,391.30
227,val,1.843337,77.7100,93.7880,0.00000005,1118.79
228,train,1.712815,82.6664,94.1218,0.00000005,391.43
228,val,1.841912,77.8200,93.8200,0.00000005,679.03
229,train,1.714025,82.6952,94.0504,0.00000005,393.73
229,val,1.842514,77.6680,93.7940,0.00000005,572.20
230,train,1.713045,82.7208,94.0827,0.00000005,390.53
230,val,1.843746,77.7700,93.7560,0.00000005,810.75
231,train,1.715082,82.6772,94.0379,0.00000005,389.50
231,val,1.843326,77.7440,93.7480,0.00000005,708.74
232,train,1.712398,82.7017,94.1009,0.00000005,390.78
232,val,1.841669,77.6380,93.7400,0.00000005,523.51
